Park,country,longitude,latitude
Yomiuriland,Japan,139.5279812,35.614686
Kidzania Tokyo,Japan,139.7913488,35.6563097
Tokyo Dome City Attractions,Japan,139.75422162148237,35.7043862
Yokohama Cosmo World,Japan,139.6355286590893,35.45566545
Fuji-Q Highland,Japan,138.77793302365643,35.48499615
Kaeson Youth Park,North Korea,125.75774906291429,39.047910599999994
Legoland Korea,South Korea,127.6992627356025,37.8856858
Seoul Land,South Korea,127.02024275399924,37.43382335
Everland,South Korea,127.2048444,37.2938764
Gyeongju World,South Korea,129.28171969699346,35.8367881
Lotte World,South Korea,127.09823334105309,37.51110405
Kidzania,Kuwait,47.9371702,29.3043737
Berjaya Times Square Theme Park,Malaysia,101.7105637,3.1421651
Genting SkyWorlds,Malaysia,101.79548806599729,3.42236445
Sunway Lagoon,Malaysia,101.61078616173899,3.07065055
Malacca Wonderland,Malaysia,102.29509350530303,2.2820457999999997
Mini Malaysia and ASEAN Cultural Park,Malaysia,102.3038143,2.2824199
Lost World of Tambun,Malaysia,101.1572286124352,4.6249395
MAPS Perak,Malaysia,101.0831934417255,4.662979
Legoland Malaysia Resort,Malaysia,103.6294754215502,1.4277677500000001
Yangon Zoological Garden,Myanmar,96.15959054639406,16.7917381
Jinnah Park,Pakistan,73.07355184936802,33.5849053
Joyland,Pakistan,71.53137639383442,30.23079405
Lake View Park,Pakistan,73.12919811824135,33.716427249999995
DreamPlay,Philippines,120.9917058,14.5249633
Star City,Philippines,120.98570443707507,14.55582075
KidZania Manila,Philippines,121.0548148,14.5536624
Circle of Fun,Philippines,121.04801615645908,14.653569749999999
Sky Ranch,Philippines,120.9377976,14.0955301
Enchanted Kingdom,Philippines,121.09688857071029,14.280887499999999
Anjo World Theme Park,Philippines,123.79982371660934,10.248735
Haw Par Villa,Singapore,103.78180159288999,1.28267795
Jurong Bird Park,Singapore,103.70666845474159,1.3190249
Night Safari,Singapore,103.78894855855035,1.4022451500000002
Singapore Zoo,Singapore,103.79403742902613,1.4037076
Snow City,Singapore,103.73511914957177,1.3350731
Universal Studios Singapore,Singapore,103.82266700104616,1.25420095
Diyatha Uyana,Sri Lanka,79.9099511,6.9038069
Galle Face Green,Sri Lanka,79.84455734022043,6.924684
Viharamahadevi Park,Sri Lanka,79.8613636,6.9148992
Farglory Ocean Park,Taiwan,121.60139312515878,23.9008243
Janfusun Fancyworld,Taiwan,120.57724421837676,23.6186005
Lihpao Land,Taiwan,120.69586301148325,24.32351765
Taroko Park,Taiwan,121.49030464604513,24.213439049999998
West Lake Resortopia,Taiwan,120.7623482837136,24.390054900000003
Yehliu Ocean World,Taiwan,121.69135813039867,25.205274799999998
Dan Neramit ,Thailand,101.14204424790404,17.2638936
Happy Land,Thailand,100.6419014,13.7695996
KidZania Bangkok,Thailand,100.5351687,13.7467705
Safari World,Thailand,100.70305974351025,13.8650168
Siam Park City,Thailand,100.69335005120202,13.80659335
Chiang Mai Night Safari,Thailand,98.9191073,18.7397288
Chiang Mai Zoo,Thailand,98.9481051,18.8094372
Mini Siam,Thailand,100.9090225,12.9552477
Dream World,Thailand,100.67517341677029,13.9909478
Phuket FantaSea,Thailand,98.2861656,7.9568452
Ferrari World Abu Dhabi,United Arab Emirates,54.6098613403717,24.48404485
Warner Bros. World Abu Dhabi,United Arab Emirates,54.60019825191268,24.49179045
IMG Worlds of Adventure,United Arab Emirates,55.31849770588414,25.0815293
"Dubai Parks and Resorts
Legoland Dubai",United Arab Emirates,55.0100525,24.9187642
Dubailand ,United Arab Emirates,55.246296228214206,25.05889935
Tashkent Park,Uzbekistan,69.24837907410489,41.3162515
Vinpearl,Vietnam,103.9815193,10.1296409
